Accession ID	Name	CS Number	Country	Lat
5644	UKNW06-481	CS78798	UK	54.4
5726	Cnt-1	CS78782	UK	51.3
5768	UKID63	CS78786	UK	54.1
5772	Set-1	CS78787	UK	54.1
5779	UKID74	CS78789	UK	51
5784	Ty-1	CS78790	UK	56.4
5800	UKID96	CS78791	UK	57.4
5811	UKID107	CS78778	UK	52.9
5818	UKID114		UK	51.8
5874	DraII-6	CS76814	CZE	49.4112
5890	DraIV 1-8	CS76817	CZE	49.4112
5893	DraIV 1-11	CS76816	CZE	49.4112
5907	DraIV 2-9	CS76818	CZE	49.4112
5950	DraIV 5-12	CS76820	CZE	49.4112
5984	DraIV 6-13	CS76822	CZE	49.4112
5993	DraIV 6-22	CS76823	CZE	49.4112
6296	UduI 1-11	CS78774	CZE	49.2771
6390	UduI 3-36	CS78775	CZE	49.2771
6396	UduI 4-9	CS78776	CZE	49.2771
6424	ZdrI 1-23	CS78875	CZE	49.3853
6434	ZdrI 2-9	CS78877	CZE	49.3853
6445	ZdrI 2-21	CS78876	CZE	49.3853
6744	CSHL-5	CS76779	USA	40.8585
6899	Bay-0		GER	49
6906	C24		POR	40.2077
6909	Col-0	CS76778	USA	38.3
6916	Est-1		RUS	58.3
6932	Ler-1	CS77021	GER	47.984
6939	Mt-0		LIB	32.34
6942	Nd-1		GER	50
6972	Tsu-1		JPN	34.43
6981	Ws-2	CS78920	RUS	52.3
6988	Alc-0		ESP	40.49
7034	Blh-1		CZE	48.3
7058	Bur-0	CS76734	IRL	53.08
7058	Bur-0	CS76734	IRL	53.08
7058	Bur-0	CS76734	IRL	53.08
7063	Can-0	CS76740	ESP	29.2144
7067	Ct-1	CS76786	ITA	37.3
7074	Chi-2		RUS	53.7502
7111	Edi-0	CS76831	UK	55.9494
7158	Gr-5	CS76885	AUT	47
7167				
7186	Kn-0	CS76969	LTU	54.8969
7206	Kro-0		GER	50.0742
7213	Ler-0	CS77020	GER	47.984
7231	Li-7	CS77035	GER	50.3833
7273	No-0	CS77128	GER	51.0581
7288	Oy-0	CS77156	NOR	60.385543
7288	Oy-0	CS77156	NOR	60.385543
7296	Petergof	CS77170	RUS	59
7308	Po-0		GER	50.7167
7317	Ri-0		CAN	49.1632
7322	Rsch-4	CS77222	RUS	56.3
7328	Sf-2	CS77247	ESP	41.7833
7332	Seattle-0	CS76598	USA	47
7346	Sten-0	CS77277	GER	52.6058
7373	Tsu-0	CS77389	JPN	34.43
7396	Ws-0.2	CS78857	RUS	52.3
7413	Wil-2	CS78856	LTU	54.6833
